bstoparsno,bstopid,name,stoptype,lng,lat
12156,192500201,"사구","일반",128.885714699999990,35.159142469999999
12161,189940401,"삼보목재","일반",128.861700000000010,35.093510000000002
12162,189940201,"삼보목재","일반",128.862598300000000,35.093396669999997
12164,189250301,"삼성자동차남문","일반",128.881460000000000,35.089109999999998
12165,189230101,"삼성자동차남문","일반",128.881474999999990,35.088896669999997
12180,188900303,"성산다리","일반",128.893855000000000,35.121746670000000
12181,191340104,"성산다리","일반",128.894016700000010,35.121553329999998
12183,191490201,"세산삼거리","일반",128.874590000000010,35.140749999999997
12189,190500301,"송정다리","일반",128.834026499999990,35.093577639999999
12194,191670202,"수로다리","일반",128.969619400000000,35.214856019999999
12196,191950201,"신덕마을","일반",128.968507200000000,35.199945329999998
12197,191960101,"신덕마을","일반",128.969232000000010,35.200129519999997
12207,189400101,"신호하수처리장","일반",128.872608100000010,35.088816710000003
12208,209460301,"신호하수처리장","일반",128.872665200000000,35.089158230000002
12221,190650401,"영남자동화기계","일반",128.827980000000000,35.097870000000000
12222,190660201,"영남자동화기계","일반",128.828113300000010,35.097651669999998
12223,190740401,"영도산업","일반",128.825600000000010,35.099769999999999
12224,203310301,"용원사거리","일반",128.821310000000010,35.098260000000003
12227,189380101,"우진목재","일반",128.865981000000000,35.092230999999998
12236,190980201,"풍영산업","일반",128.839226400000000,35.091100290000000
12241,189510401,"태광금속","일반",128.865070000000000,35.093499999999999
12242,189940202,"태광금속","일반",128.865230999999990,35.093415000000000
12245,191200401,"경제자유구역청사거리","일반",128.838863400000010,35.089183970000001
12246,191210101,"경제자유구역청사거리","일반",128.838692600000000,35.088770109999999
12247,176810102,"진동","일반",128.927401699999990,35.098466670000001
12248,191810301,"진목","일반",128.926676700000000,35.113093329999998
12249,191370101,"진목","일반",128.926516700000010,35.112923330000001
12252,190290401,"해덕파워웨이","일반",128.848469999999990,35.093490000000003
12253,190190401,"DSR","일반",128.840298200000010,35.093572610000002
12254,209420101,"호산나교회","일반",128.906912799999990,35.084177140000001
12255,209440301,"호산나교회","일반",128.906939999999990,35.084380000000003
12256,190130101,"농심","일반",128.839688000000000,35.096453920000002
12257,190370301,"농심","일반",128.839259700000010,35.096422420000003
12262,189680201,"녹산염색공단","일반",128.860091500000010,35.088789429999999
12263,189690401,"녹산염색공단","일반",128.860190399999990,35.089162709999997
12264,189850201,"부산지방중소벤처기업청","일반",128.855581099999990,35.088818099999997
12265,189720401,"부산지방중소벤처기업청","일반",128.855649900000000,35.089202710000002
12266,189620201,"갑을녹산병원","일반",128.852555999999990,35.089893600000003
12267,189620101,"갑을녹산병원","일반",128.852825700000010,35.090445840000001
12268,189060301,"삼성전기기숙사","일반",128.852505000000010,35.093052000000000
12269,189050101,"삼성전기기숙사","일반",128.852620000000000,35.093029999999999
12270,189390301,"녹산하수처리장","일반",128.866206600000000,35.089161859999997
12273,214270101,"퀸덤1.2단지","일반",128.897867499999990,35.086557730000003
12274,209510101,"극동스타클래스아파트","일반",128.900896300000000,35.084211639999999
12275,213100201,"롯데캐슬아파트","일반",128.904708000000000,35.084200000000003
12276,213110201,"남명초등학교","일반",128.910143400000010,35.084214150000001
12277,209440101,"행복마을","일반",128.911917200000000,35.086519029999998
12278,209430201,"행복마을","일반",128.911592000000010,35.086608409999997
12279,209440302,"남명초등학교","일반",128.910092600000010,35.084478439999998
12280,213110101,"롯데캐슬아파트","일반",128.904735899999990,35.084480620000001
12281,214280101,"퀸덤3단지","일반",128.901450500000010,35.084418790000001
12282,214260101,"퀸덤1.2단지","일반",128.897889900000000,35.086770360000003
12289,215050201,"현대상선","일반",128.835021600000000,35.071384649999999
12290,209930401,"현대상선","일반",128.834517600000000,35.071396790000001
12291,215050202,"부산신항다목적터미널","일반",128.834982700000010,35.073908009999997
12292,209930402,"부산신항다목적터미널","일반",128.834524300000000,35.074000580000003
12295,177040202,"작지","일반",128.950210599999990,35.143862319999997
12296,177020105,"작지","일반",128.950243599999990,35.142955000000001
12297,214910101,"가덕천성동","일반",128.812821000000010,35.030676000000000
12298,192080301,"강서구청역","일반",128.979808400000000,35.211264319999998
12299,188780101,"강서구청역","일반",128.979757000000010,35.211053000000000
12300,213080101,"부산항홍보관","일반",128.832691899999990,35.088644479999999
12301,213070201,"부산항홍보관","일반",128.832918500000010,35.088344069999998
12304,214910102,"두문입구","일반",128.812095000000000,35.032817000000001
12305,214920101,"두문입구","일반",128.812068000000010,35.032761999999998
12306,214910103,"서중마을","일반",128.818799000000010,35.032401999999998
12307,214920102,"동중마을","일반",128.823761700000010,35.032091800000003
12308,215150202,"범한판토스","일반",128.808287200000000,35.084359950000000
12310,215150201,"현대물류","일반",128.813061199999990,35.084410269999999
12311,215140401,"현대물류","일반",128.813052800000010,35.084675279999999
12312,214960101,"강림 씨에스피","일반",128.872720300000000,35.107835889999997
12313,214950301,"강림 씨에스피","일반",128.873053000000000,35.107771000000000
12314,214990401,"화연공원","일반",128.878080600000000,35.103427150000002
12315,215000201,"화연공원","일반",128.878288000000000,35.103172000000001
12316,217140101,"동선마을","일반",128.832361200000010,35.055574139999997
12317,214950401,"(주)태광","일반",128.875201000000000,35.103853000000001
12318,214990201,"(주)태광","일반",128.875324000000010,35.103985000000002
12319,214990402,"부산은행 화전공단지점","일반",128.883050000000000,35.103650000000002
12320,215000202,"부산은행 화전공단지점","일반",128.883000000000010,35.103600000000000
12321,215000301,"세주정공","일반",128.883089000000010,35.107928000000001
12322,214980101,"세주정공","일반",128.882983999999990,35.107992000000003
12323,193300101,"명지오션시티","일반",128.898709900000000,35.088857760000003
12324,211730101,"옥포마을","일반",128.845050100000010,35.116301350000001
12325,191380301,"옥포마을","일반",128.844723700000000,35.116905619999997
12326,192630302,"명동","일반",128.845485700000010,35.144112659999998
12327,192640102,"명동","일반",128.844969999999990,35.144489999999998
12328,192670301,"동화엔텍","일반",128.836617999999990,35.149121999999998
12329,214480201,"동화엔텍","일반",128.836511300000010,35.148768550000000
12332,192750501,"이원솔루텍","일반",128.830236200000000,35.149061830000001
12333,215390101,"이원솔루텍","일반",128.830263400000010,35.148806829999998
12334,214470102,"자동차부품멀티관","일반",128.824338899999990,35.149074159999998
12335,214460205,"자동차부품멀티관","일반",128.824269500000010,35.148793609999998
12336,214470101,"ENK","일반",128.815765599999990,35.149640079999998
12337,214460201,"ENK","일반",128.815671700000000,35.149366620000002
12338,214450102,"YMP지사단지기점","일반",128.809638600000000,35.149197819999998
12339,214460101,"매일정기","일반",128.811697400000010,35.149261639999999
12340,209900103,"마음","일반",128.863998700000000,35.134175089999999
12341,191880303,"마음","일반",128.864264700000010,35.134774800000002
12342,209900104,"중곡","일반",128.870584100000000,35.137673880000001
12343,191880304,"중곡","일반",128.870435600000010,35.138135790000000
12344,190430101,"(구)검문소","일반",128.839682399999990,35.101472459999997
12345,190900301,"(구)검문소","일반",128.839165400000010,35.103350319999997
12346,191490302,"세산삼거리","일반",128.873379900000000,35.140947089999997
12349,191850102,"구랑","일반",128.858319099999990,35.128997050000002
12350,209900202,"구랑","일반",128.858292000000010,35.129545000000000
12351,192560102,"가동마을입구","일반",128.884807300000010,35.165255360000003
12352,192070201,"가동마을입구","일반",128.885053099999990,35.165313830000002
12353,192690202,"지사휴먼시아아파트","일반",128.834982700000010,35.150814949999997
12354,192700101,"지사휴먼시아아파트","일반",128.834313299999990,35.150563730000002
12355,192710201,"지사문화회관","일반",128.831273399999990,35.150785460000002
12356,192720101,"지사문화회관","일반",128.831274900000010,35.150609699999997
12357,214990101,"서번산업","일반",128.878100899999990,35.099175430000003
12358,209540401,"서번산업","일반",128.878444000000000,35.099314300000003
12359,215830101,"조달청 비축기지","일반",128.883191600000000,35.098339420000002
12360,215000101,"조달청 비축기지","일반",128.882859999999990,35.098222909999997
12361,209900301,"지사산단입구","일반",128.857390000000010,35.136387640000002
12363,190600201,"부광산업","일반",128.824286699999990,35.095955429999997
12364,190580303,"부광산업","일반",128.824550899999990,35.096248860000003
12365,190580201,"(주)부산카프링","일반",128.826952199999990,35.093762400000003
12366,190580101,"(주)부산카프링","일반",128.827233600000000,35.094096810000003
12367,215920101,"서부산유통지구역","일반",128.954476000000000,35.166771130000001
12368,215930101,"서부산유통지구역","일반",128.956797900000000,35.167950210000001
12369,215950101,"신항 서문입구","일반",128.801665700000000,35.082890419999998
12370,215120101,"신항 서문입구","일반",128.801610299999990,35.083359880000003
12371,215120301,"글로벌물류센터","일반",128.815248200000010,35.082987390000000
12372,214240501,"글로벌물류센터","일반",128.815240300000000,35.083370530000003
12375,503520000,"본맥도","일반",128.953419999999990,35.151359999999997
12376,503490000,"본맥도","일반",128.953859999999990,35.151319999999998
12377,503530000,"염막","일반",128.945770000000010,35.134639999999997
12378,503500000,"염막","일반",128.945979999999990,35.134270000000001
12379,503540000,"송백","일반",128.940169999999990,35.124800000000000
12380,503510000,"송백","일반",128.940220000000010,35.124090000000002
12381,188880101,"명지시장","일반",128.932214200000000,35.112351910000001
12382,214970101,"스타우프코리아","일반",128.878073599999990,35.107901759999997
12383,214990301,"스타우프코리아","일반",128.878406899999990,35.107851529999998
12384,209540501,"기성금속","일반",128.881656099999990,35.097133149999998
12385,215830201,"기성금속","일반",128.881908000000010,35.097593359999998
12386,191540201,"삼성자동차동문","일반",128.886665200000010,35.094428270000002
12387,191740101,"삼성자동차동문","일반",128.887135500000000,35.094375890000002
12388,190670301,"우일철강","일반",128.825694800000010,35.097880850000003
12389,191000401,"보람공원","일반",128.847867200000000,35.089145580000000
12390,193300201,"신호대교","일반",128.896725900000010,35.088645509999999
12391,214270201,"신호대교","일반",128.896887600000010,35.088286990000000
12392,213060102,"세방물류","일반",128.825643799999990,35.085879710000000
12394,214940102,"성북","일반",128.828614800000000,35.058118049999997
12395,214930202,"성북","일반",128.828914099999990,35.058023409999997
12396,215420201,"천성","일반",128.821213300000010,35.030075300000000
12397,216030101,"천성","일반",128.822219800000000,35.030006110000002
12398,191180201,"보람공원","일반",128.847447600000010,35.088773459999999
12399,214260202,"명호초등학교","일반",128.899314000000000,35.085477800000000
12400,209510402,"명호초등학교","일반",128.899604299999990,35.085468759999998
12401,209510201,"두산위브","일반",128.899315000000000,35.082922900000000
12402,215240302,"두산위브","일반",128.899611300000000,35.083170590000002
12403,215240401,"한신휴플러스아파트","일반",128.901082900000010,35.081863310000003
12404,216010101,"극동스타클래스","일반",128.901028300000010,35.082107489999999
